rk,pos,name,age,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops_plus,tb,gdp,hbp,sh,sf,ibb,season,bats
1,C,Bob Schmidt,25,127,432,393,46,96,20,2,14,54,0,1,33,59,0.244,0.306,0.412,0.718,90.0,162,19,3,1,2,5,1958,Right
2,1B,Orlando Cepeda,20,148,644,603,88,188,38,4,25,96,15,11,29,84,0.312,0.342,0.512,0.854,125.0,309,18,3,0,9,7,1958,Right
3,2B,Danny O'Connell,29,107,368,306,44,71,12,2,3,23,2,1,51,35,0.232,0.34,0.314,0.654,77.0,96,7,0,9,2,0,1958,Right
4,SS,Daryl Spencer,29,148,626,539,71,138,20,5,17,74,1,0,73,60,0.256,0.343,0.406,0.75,100.0,219,17,3,3,8,4,1958,Right
5,3B,Jim Davenport,24,134,493,434,70,111,22,3,12,41,1,3,33,64,0.256,0.317,0.403,0.72,91.0,175,4,7,17,2,0,1958,Right
6,LF,Hank Sauer,41,88,277,236,27,59,8,0,12,46,0,0,35,37,0.25,0.354,0.436,0.79,110.0,103,4,4,0,2,2,1958,Right
7,CF,Willie Mays,27,152,685,600,121,208,33,11,29,96,31,6,78,56,0.347,0.419,0.583,1.002,165.0,350,11,1,0,6,12,1958,Right
8,RF,Willie Kirkland,24,122,470,418,48,108,25,6,14,56,3,2,43,69,0.258,0.332,0.447,0.779,106.0,187,5,5,0,4,7,1958,Left
9,3B,Ray Jablonski,31,86,251,230,28,53,15,1,12,46,2,0,17,50,0.23,0.287,0.461,0.748,96.0,106,11,2,0,2,2,1958,Right
10,LF,Leon Wagner,24,74,241,221,31,70,9,0,13,35,1,0,18,34,0.317,0.371,0.534,0.905,139.0,118,1,1,0,0,3,1958,Left
11,RF,Felipe Alou,23,75,204,182,21,46,9,2,4,16,4,2,19,34,0.253,0.325,0.39,0.715,91.0,71,1,1,1,1,2,1958,Right
12,C,Valmy Thomas,32,63,160,143,14,37,5,0,3,16,1,0,13,24,0.259,0.321,0.357,0.677,81.0,51,4,1,0,2,0,1958,Right
13,2B,Eddie Bressoud,26,66,154,137,19,36,5,3,0,8,0,1,14,22,0.263,0.331,0.343,0.674,81.0,47,2,0,3,0,1,1958,Right
14,UT,Whitey Lockman,31,92,141,122,15,29,5,0,2,7,0,0,13,8,0.238,0.311,0.328,0.639,71.0,40,0,0,6,0,4,1958,Left
15,LF,Bob Speake,27,66,84,71,9,15,3,0,3,10,0,1,13,15,0.211,0.333,0.38,0.714,91.0,27,1,0,0,0,1,1958,Left
16,SS,Andre Rodgers,23,22,71,63,7,13,3,1,2,11,0,0,4,14,0.206,0.243,0.381,0.624,64.0,24,2,0,0,3,0,1958,Right
