name,age,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,ba,obp,slg,ops,ops_plus,tb,gdp,hbp,sh,sf,ibb,season
Team Totals,26.7,154,6003,5318,727,1399,250,42,170,682,64,29,531,817,.263,.331,.422,.753,100,2243,119,34,68,45,54,1958
Team Totals,26.1,154,5893,5281,705,1377,239,35,167,660,81,34,473,875,.261,.322,.414,.736,97,2187,96,25,73,38,57,1959
Team Totals,26.7,156,5926,5324,671,1357,220,62,130,622,86,45,467,846,.255,.317,.393,.709,99,2091,106,33,60,39,61,1960
Team Totals,26.8,155,5889,5233,773,1379,219,32,183,709,79,54,506,764,.264,.329,.423,.752,102,2211,124,30,70,48,58,1961
Team Totals,27.6,165,6281,5588,878,1552,235,32,204,807,73,50,523,822,.278,.341,.441,.782,110,2463,120,42,76,48,41,1962
Team Totals,28.3,162,6180,5579,725,1442,206,35,197,680,55,49,441,889,.258,.316,.414,.730,110,2309,125,45,72,39,53,1963
Team Totals,27.4,162,6195,5535,656,1360,185,38,165,608,64,35,505,900,.246,.310,.382,.693,93,2116,118,33,78,43,74,1964
Team Totals,26.8,163,6119,5495,682,1384,169,43,159,623,47,27,476,844,.252,.313,.385,.698,94,2116,149,31,80,37,68,1965
Team Totals,26.7,161,6084,5539,675,1373,195,31,181,627,29,30,414,860,.248,.303,.392,.695,89,2173,142,32,70,28,65,1966
Team Totals,27.2,162,6205,5524,652,1354,201,39,140,604,22,30,520,978,.245,.313,.372,.685,96,2053,121,42,92,27,75,1967
Team Totals,27.9,163,6133,5441,599,1301,162,33,108,566,50,37,508,904,.239,.307,.341,.648,94,1853,117,47,92,44,55,1968
Team Totals,28.0,162,6375,5474,713,1325,187,28,136,657,71,32,711,1054,.242,.334,.361,.695,96,1976,121,66,82,42,82,1969
Team Totals,28.1,162,6469,5578,831,1460,257,35,165,773,83,27,729,1005,.262,.351,.409,.760,104,2282,144,56,66,40,95,1970
Team Totals,27.3,162,6259,5461,706,1348,224,36,140,653,101,36,654,1042,.247,.329,.378,.707,101,2064,126,37,69,37,86,1971
Team Totals,25.4,155,5858,5245,662,1281,211,36,150,600,123,45,480,964,.244,.309,.384,.693,95,2014,107,30,64,39,42,1972
Team Totals,25.7,162,6274,5537,739,1452,212,52,161,684,112,52,590,913,.262,.335,.407,.742,102,2251,113,35,75,37,82,1973
Team Totals,25.2,162,6159,5482,634,1380,228,38,93,568,107,51,548,869,.252,.322,.358,.680,87,1963,113,30,75,24,57,1974
Team Totals,25.7,161,6186,5447,659,1412,235,45,84,606,99,47,604,775,.259,.333,.365,.698,91,1989,139,22,62,51,52,1975
Team Totals,26.3,162,6123,5452,595,1340,211,37,85,552,88,55,518,778,.246,.312,.345,.656,85,1880,122,25,80,48,52,1976
Team Totals,26.8,162,6218,5497,673,1392,227,41,134,624,90,59,568,842,.253,.323,.383,.705,90,2103,118,21,78,51,61,1977
Team Totals,27.2,162,6103,5364,613,1331,240,41,117,576,87,54,554,814,.248,.318,.374,.692,97,2004,104,17,127,40,75,1978
Team Totals,28.2,162,6133,5395,672,1328,192,36,125,616,140,73,580,925,.246,.319,.365,.684,93,1967,100,20,89,47,61,1979
Team Totals,28.4,161,6047,5368,573,1310,199,44,80,539,100,58,509,840,.244,.308,.342,.651,84,1837,122,14,100,54,61,1980
