gtm,year,game_date,era_cum,h_cum,hr_cum,er_cum,so_cum
1,2023,2023-03-30,5.62,8,2,5,16
2,2023,2023-04-01,4.76,18,4,9,25
3,2023,2023-04-02,5.4,25,7,15,31
4,2023,2023-04-03,4.76,30,8,18,36
5,2023,2023-04-05,4.71,43,8,22,43
6,2023,2023-04-06,4.59,54,8,26,53
7,2023,2023-04-07,4.35,63,10,29,60
8,2023,2023-04-08,4.57,71,13,35,70
9,2023,2023-04-09,4.15,76,13,36,80
10,2023,2023-04-10,4.34,85,16,42,91
11,2023,2023-04-11,3.94,88,16,42,102
12,2023,2023-04-12,4.46,101,19,52,111
13,2023,2023-04-14,4.36,111,20,56,126
14,2023,2023-04-15,4.37,121,21,61,133
15,2023,2023-04-17,4.38,130,22,65,139
16,2023,2023-04-18,4.38,139,23,69,147
17,2023,2023-04-19,4.13,149,23,70,163
18,2023,2023-04-20,4.4,162,26,79,171
19,2023,2023-04-21,4.54,175,27,86,180
20,2023,2023-04-22,4.51,185,28,90,189
21,2023,2023-04-23,4.44,193,29,93,199
22,2023,2023-04-24,4.23,199,29,93,203
23,2023,2023-04-25,4.22,208,30,97,211
24,2023,2023-04-26,4.17,216,32,100,217
25,2023,2023-04-27,4.25,228,34,106,226
26,2023,2023-04-29,4.68,245,40,121,237
27,2023,2023-04-30,4.75,255,41,127,250
28,2023,2023-05-01,4.85,265,41,134,257
29,2023,2023-05-02,4.68,268,41,134,261
30,2023,2023-05-03,4.59,273,42,136,268
31,2023,2023-05-05,4.54,280,42,139,280
32,2023,2023-05-06,4.43,286,42,140,287
33,2023,2023-05-07,4.47,298,44,146,293
34,2023,2023-05-08,4.49,309,44,151,297
35,2023,2023-05-09,4.39,319,44,152,306
36,2023,2023-05-10,4.46,331,46,159,314
37,2023,2023-05-11,4.4,340,46,161,319
38,2023,2023-05-12,4.45,352,48,167,326
39,2023,2023-05-13,4.53,361,49,174,330
40,2023,2023-05-14,4.48,365,49,176,333
41,2023,2023-05-15,4.44,371,50,179,342
42,2023,2023-05-16,4.41,381,51,182,352
43,2023,2023-05-17,4.4,389,52,186,362
44,2023,2023-05-19,4.37,395,53,189,372
45,2023,2023-05-20,4.27,400,53,189,383
46,2023,2023-05-21,4.26,413,55,193,390
47,2023,2023-05-22,4.19,417,56,194,406
48,2023,2023-05-23,4.17,423,58,197,417
49,2023,2023-05-24,4.17,430,60,201,428
50,2023,2023-05-25,4.09,434,60,201,441
51,2023,2023-05-26,4.03,438,60,202,448
52,2023,2023-05-27,3.97,443,60,203,461
53,2023,2023-05-28,4.03,450,61,210,471
54,2023,2023-05-29,4.03,459,63,214,474
55,2023,2023-05-30,3.98,465,64,215,485
56,2023,2023-05-31,4.05,479,64,223,497
57,2023,2023-06-02,4.03,483,65,226,504
58,2023,2023-06-03,3.96,488,65,226,512
59,2023,2023-06-04,4.01,499,66,233,521
60,2023,2023-06-06,4.01,508,66,237,529
61,2023,2023-06-07,4.01,517,67,241,536
62,2023,2023-06-08,4.01,526,67,245,546
63,2023,2023-06-09,4.0,533,67,248,551
64,2023,2023-06-10,4.0,538,69,252,562
65,2023,2023-06-11,3.95,545,69,253,569
66,2023,2023-06-12,3.93,555,71,256,575
67,2023,2023-06-13,3.92,562,71,259,585
68,2023,2023-06-14,3.93,571,72,264,602
69,2023,2023-06-16,3.93,581,72,269,613
70,2023,2023-06-17,3.88,587,72,269,619
71,2023,2023-06-18,3.85,596,72,271,627
72,2023,2023-06-19,3.85,606,74,275,635
73,2023,2023-06-20,3.83,616,75,278,644
74,2023,2023-06-21,3.81,624,75,280,653
75,2023,2023-06-22,3.89,635,78,290,659
76,2023,2023-06-23,3.89,643,79,294,666
77,2023,2023-06-24,3.92,655,80,300,678
78,2023,2023-06-25,3.93,665,81,305,684
