year,games,wins,losses,ties,win_pct,finish,games_back,playoffs,runs,runs_allowed,attendance,batter_age,pitcher_age,league_place
2024,151,73,78,0,0.483,4th of 5,16.0,,643,662,2543959.0,28.7,27.3,4th
2023,162,79,83,0,0.488,4th of 5,21.0,,674,719,2500153.0,28.5,30.0,4th
2022,162,81,81,0,0.5,3rd of 5,30.0,,716,697,2482686.0,30.0,29.1,3rd
2021,162,107,55,0,0.66,1st of 5,0.0,Lost NLDS,804,594,1679484.0,30.6,29.7,1st
2020,60,29,31,0,0.483,3rd of 5,14.0,,299,297,,29.8,29.0,3rd
2019,162,77,85,0,0.475,3rd of 5,29.0,,678,773,2707760.0,29.9,28.9,3rd
2018,162,73,89,0,0.451,4th of 5,18.5,,603,699,3156185.0,29.8,28.6,4th
2017,162,64,98,0,0.395,5th of 5,40.0,,639,776,3303652.0,29.5,28.9,5th
2016,162,87,75,0,0.537,2nd of 5,4.0,Lost NLDS,715,631,3365256.0,29.1,30.0,2nd
2015,162,84,78,0,0.519,2nd of 5,8.0,,696,627,3375882.0,28.9,31.5,2nd
2014,162,88,74,0,0.543,2nd of 5,6.0,Won WS,665,614,3368697.0,28.6,31.7,2nd
2013,162,76,86,0,0.469,3rd of 5,16.0,,629,691,3369106.0,28.7,29.6,3rd
2012,162,94,68,0,0.58,1st of 5,0.0,Won WS,718,649,3377371.0,27.8,30.0,1st
2011,162,86,76,0,0.531,2nd of 5,8.0,,570,578,3387303.0,30.2,28.5,2nd
2010,162,92,70,0,0.568,1st of 5,0.0,Won WS,697,583,3037443.0,29.6,27.9,1st
2009,162,88,74,0,0.543,3rd of 5,7.0,,657,611,2862110.0,29.0,28.7,3rd
2008,162,72,90,0,0.444,4th of 5,12.0,,640,759,2863837.0,29.6,27.1,4th
2007,162,71,91,0,0.438,5th of 5,19.0,,683,720,3223215.0,32.7,27.3,5th
2006,161,76,85,0,0.472,3rd of 5,11.5,,746,790,3130313.0,33.7,28.7,3rd
2005,162,75,87,0,0.463,3rd of 5,7.0,,649,745,3181023.0,32.2,30.0,3rd
2004,162,91,71,0,0.562,2nd of 5,2.0,,850,770,3256854.0,31.6,30.1,2nd
2003,161,100,61,0,0.621,1st of 5,0.0,Lost NLDS,755,638,3264898.0,32.1,28.6,1st
2002,162,95,66,1,0.59,2nd of 5,2.5,Lost WS,783,616,3253203.0,32.1,29.2,2nd
2001,162,90,72,0,0.556,2nd of 5,2.0,,799,748,3311958.0,31.5,29.2,2nd
2000,162,97,65,0,0.599,1st of 5,0.0,Lost NLDS,925,747,3318800.0,29.9,28.5,1st
1999,162,86,76,0,0.531,2nd of 5,14.0,,872,831,2078399.0,30.3,28.6,2nd
1998,163,89,74,0,0.546,2nd of 5,9.5,,845,739,1925364.0,30.7,31.8,2nd
1997,162,90,72,0,0.556,1st of 4,0.0,Lost NLDS,784,793,1690869.0,29.6,28.9,1st
1996,162,68,94,0,0.42,4th of 4,23.0,,752,862,1413922.0,28.9,28.4,4th
1995,144,67,77,0,0.465,4th of 4,11.0,,652,776,1241500.0,28.8,28.6,4th
1994,115,55,60,0,0.478,2nd of 4,3.5,,504,500,1704608.0,28.4,28.5,2nd
1993,162,103,59,0,0.636,2nd of 7,1.0,,808,636,2606354.0,28.0,28.5,2nd
1992,162,72,90,0,0.444,5th of 6,26.0,,574,647,1560998.0,28.1,28.2,5th
1991,162,75,87,0,0.463,4th of 6,19.0,,649,697,1737478.0,28.4,28.9,4th
1990,162,85,77,0,0.525,3rd of 6,6.0,,719,710,1975528.0,29.1,29.5,3rd
1989,162,92,70,0,0.568,1st of 6,0.0,Lost WS,699,600,2059701.0,28.5,31.6,1st
1988,162,83,79,0,0.512,4th of 6,11.5,,670,626,1785297.0,28.3,31.1,4th
1987,162,90,72,0,0.556,1st of 6,0.0,Lost NLCS,783,669,1917168.0,27.9,29.1,1st
1986,162,83,79,0,0.512,3rd of 6,13.0,,698,618,1528748.0,26.9,29.3,3rd
1985,162,62,100,0,0.383,6th of 6,33.0,,556,674,818697.0,27.7,27.7,6th
1984,162,66,96,0,0.407,6th of 6,26.0,,682,807,1001545.0,29.0,27.4,6th
1983,162,79,83,0,0.488,5th of 6,12.0,,687,697,1251530.0,28.0,27.8,5th
1982,162,87,75,0,0.537,3rd of 6,2.0,,673,687,1200948.0,29.2,27.4,3rd
1981,111,56,55,0,0.505,4th of 6,11.5,,427,414,632274.0,29.7,29.1,4th
1980,161,75,86,0,0.466,5th of 6,17.0,,573,634,1096115.0,28.3,27.6,5th
1979,162,71,91,0,0.438,4th of 6,19.5,,672,751,1456402.0,28.1,28.3,4th
1978,162,89,73,0,0.549,3rd of 6,6.0,,613,594,1740477.0,27.2,27.8,3rd
1977,162,75,87,0,0.463,4th of 6,23.0,,673,711,700056.0,26.7,27.0,4th
1976,162,74,88,0,0.457,4th of 6,28.0,,595,686,626868.0,26.2,25.8,4th
1975,161,80,81,0,0.497,3rd of 6,27.5,,659,671,522919.0,25.6,24.9,3rd
