gm,game_date,result,r,ra,run_diff
95,2024-07-12,W,7,1,6
94,2024-07-11,L,3,5,-2
93,2024-07-10,L,6,10,-4
92,2024-07-09,W,4,3,1
91,2024-07-07,L,4,5,-1
90,2024-07-06,L,4,5,-1
89,2024-07-05,W,4,2,2
88,2024-07-04,W,4,2,2
87,2024-07-03,L,1,3,-2
86,2024-07-02,W,5,3,2
85,2024-06-30,W,10,4,6
84,2024-06-29,L,7,14,-7
83,2024-06-28,W,5,3,2
82,2024-06-27,L,3,5,-2
81,2024-06-26,W,4,3,1
80,2024-06-25,W,5,1,4
79,2024-06-24,W,5,4,1
78,2024-06-23,L,3,5,-2
77,2024-06-22,L,4,9,-5
76,2024-06-20,L,5,6,-1
75,2024-06-19,L,5,6,-1
74,2024-06-18,L,2,5,-3
73,2024-06-17,W,7,6,1
72,2024-06-16,W,13,6,7
71,2024-06-15,L,3,4,-1
70,2024-06-14,L,6,8,-2
69,2024-06-12,W,5,3,2
68,2024-06-11,L,1,3,-2
67,2024-06-10,W,4,3,1
66,2024-06-09,L,2,7,-5
65,2024-06-08,W,3,1,2
64,2024-06-07,W,5,2,3
63,2024-06-05,W,9,3,6
62,2024-06-04,L,5,8,-3
61,2024-06-03,L,2,4,-2
60,2024-06-02,L,5,7,-2
59,2024-06-01,L,3,7,-4
58,2024-05-31,L,2,6,-4
57,2024-05-29,L,1,6,-5
56,2024-05-28,W,1,0,1
55,2024-05-27,W,8,4,4
54,2024-05-26,L,3,4,-1
53,2024-05-25,W,7,2,5
52,2024-05-24,W,8,7,1
51,2024-05-23,W,7,6,1
50,2024-05-22,W,9,5,4
49,2024-05-21,L,6,7,-1
48,2024-05-19,W,4,1,3
47,2024-05-18,W,14,4,10
46,2024-05-17,W,10,5,5
45,2024-05-15,W,4,1,3
44,2024-05-14,L,2,10,-8
43,2024-05-13,L,4,6,-2
42,2024-05-12,W,6,5,1
41,2024-05-11,W,5,1,4
40,2024-05-10,L,2,4,-2
39,2024-05-09,L,1,9,-8
38,2024-05-08,W,8,6,2
37,2024-05-07,W,5,0,5
36,2024-05-06,L,1,6,-5
35,2024-05-05,L,4,5,-1
34,2024-05-04,L,3,14,-11
33,2024-05-03,L,3,4,-1
32,2024-05-02,W,3,1,2
31,2024-05-01,L,2,6,-4
30,2024-04-30,L,0,4,-4
29,2024-04-28,W,3,2,1
28,2024-04-27,L,3,4,-1
27,2024-04-26,W,3,0,3
26,2024-04-24,L,2,8,-6
25,2024-04-23,W,5,1,4
24,2024-04-22,W,5,2,3
23,2024-04-21,L,3,5,-2
22,2024-04-20,W,7,3,4
21,2024-04-19,L,1,17,-16
20,2024-04-18,W,5,0,5
19,2024-04-17,W,3,1,2
18,2024-04-16,L,3,6,-3
17,2024-04-15,W,4,3,1
16,2024-04-14,L,4,9,-5
15,2024-04-13,W,11,2,9
14,2024-04-12,L,1,2,-1
13,2024-04-10,W,7,1,6
12,2024-04-09,L,3,5,-2
11,2024-04-08,L,1,8,-7
10,2024-04-07,W,3,2,1
9,2024-04-06,L,0,4,-4
8,2024-04-05,W,3,2,1
7,2024-04-03,L,4,5,-1
6,2024-04-02,L,4,5,-1
5,2024-04-01,L,3,8,-5
4,2024-03-31,L,4,13,-9
3,2024-03-30,W,9,6,3
2,2024-03-29,W,8,3,5
1,2024-03-28,L,4,6,-2
