year,gm,win_pct,gb
2024,59,,-7.5
2024,58,,-6.5
2024,57,0.51,-6.5
2024,56,,-5.5
2024,55,,-5.0
2024,54,0.5,-5.5
2024,53,,-5.5
2024,52,0.5,-6.5
2024,51,0.49,-7.5
2024,50,,-8.0
2024,49,,-9.0
2024,48,,-8.5
2024,47,,-8.5
2024,46,,-8.5
2024,45,,-9.0
2024,44,0.43,-10.0
2024,43,,-9.0
2024,42,,-8.0
2024,41,,-9.0
2024,40,,-9.0
2024,39,,-9.0
2024,38,0.45,-8.5
2024,37,0.43,-8.5
2024,36,0.42,-8.5
2024,35,0.43,-7.5
2024,34,,-6.5
2024,33,0.45,-5.5
2024,32,,-4.5
2024,31,,-5.0
2024,30,,-4.0
2024,29,0.48,-3.5
2024,28,,-4.5
2024,27,,-3.5
2024,26,0.46,-3.0
2024,25,0.48,-2.0
2024,24,0.46,-2.0
2024,23,,-2.5
2024,22,0.45,-1.5
2024,21,0.43,-2.5
2024,20,0.45,-2.5
2024,19,,-3.0
2024,18,0.39,-4.0
2024,17,,-3.0
2024,16,0.38,-4.0
2024,15,0.4,-4.0
2024,14,0.36,-4.0
2024,13,,-4.0
2024,12,,-5.0
2024,11,,-4.0
2024,10,,-3.0
2024,9,,-4.0
2024,8,,-3.0
2024,7,,-4.0
2024,6,0.33,-3.0
2024,5,0.4,-2.0
2024,4,0.5,-1.0
2024,3,,0.0
2024,2,0.5,-1.0
2024,1,,-1.0
2023,162,,-21.0
2023,161,,-20.0
2023,160,,-21.0
2023,159,,-20.5
2023,158,,-19.5
2023,157,,-19.0
2023,156,,-19.5
2023,155,,-18.5
2023,154,,-17.5
2023,153,,-18.5
2023,152,,-17.5
2023,151,,-17.5
2023,150,,-16.0
2023,148,,-16.0
2023,149,,-16.0
2023,147,,-14.5
2023,146,,-13.5
2023,145,,-14.5
2023,144,,-13.5
2023,143,,-14.5
2023,142,,-14.5
2023,141,,-15.5
2023,140,,-15.0
2023,139,,-15.0
2023,138,,-15.0
2023,137,,-14.5
2023,136,,-13.5
2023,135,,-13.5
2023,134,,-13.5
2023,133,,-14.5
2023,132,,-13.5
2023,131,,-13.5
